Titles,Locations,No Of Bathrooms,No Of Bedrooms,Prices,Description
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
4 Bed Villa with En Suite in Karen,Karen,4,4,"KSh 300,000

/ month",4 Bedroom House for Rent In Karen
4 Bed House with En Suite at Lower Kabete,"01, Lower kabete, Kitisuru, Westlands",4,4,"KSh 649,000

/ month",Luxurious Newly 4 Bedroom House in Lower Kabete...
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4,4,"KSh 350,000

/ month",Diplomatic Homes! Rosslyn Four Bedrooms Villa i...
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,"KSh 240,000

/ month",5 Bedrooms Town House to Let in Lavington
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,"KSh 550,000

/ month",Masterpiece 4-Bedroom Villa for Rent in Runda i...
5 Bed House with En Suite in Karura,"Karura, Westlands",6,5,"KSh 300,000

/ month",The Picked fenced Meadows
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",5,5,"KSh 560,000

/ month",5 bedroom townhouse to rent in lower kabete
5 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",5,5,"KSh 650,000

/ month",Modern 5 bedroom house in Kitisuru to let
4 Bed Townhouse at Phase 2,"Phase 2, Buruburu",2,4,"KSh 55,000

/ month",Upgraded 4 Bedroom House With SQ
5 Bed House with En Suite in Runda,"Runda, Westlands",6,5,"KSh 577,000

/ month","5 Bedroom House For Rent, Runda"
4 Bed House with En Suite at Kiambu Road,"01, kiambu road, Kiambu Road",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Kiambu Road,"01, Kiambu road, Runda, Westlands",4,4,"KSh 220,000

/ month",Executive 4 Bedroom House all en-suite + dsq fo...
4 Bed House with En Suite at Runda,"01, Runda, Westlands",4,4,"KSh 300,000

/ month",Executive 4 Bedroom House all Bedroom en-suite...
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,"KSh 3,000

/ month",Magnificently done 5 Bedrooms Stand-alone House
4 Bed House with En Suite in Kiambu Road,Kiambu Road,5,4,"KSh 150,000

/ month","Unfurnished 4 Bedroom House For Rent, Kiambu Ro..."
2 Bed House with En Suite at Valley Arcade,"Lavington, Valley Arcade",2,2,"KSh 85,000

/ month",Stunning 2 bedrooms maisonette with private gat...
